FECHA_ACCIONAMIENTO,ID_CDM,productora,COLABORADOR,ESTADO_VARIANTE,DOMINIO,PDP_ID,PDP_LINK,ITEM_ID,LINK_ITEM,VARIATION_ID,INFO_CHILD,FORZAR_PDP,RESOLUCION,COMENTARIO,Auditor,EstadoFinal_esCorrecto,Motivo_de_Rechazo_esCorrecto,Accion_Correcta,Casuisticas,Comentario
29 dic 2025,12730261,Netkel,ext_francof,null,BAR_SOAPS,MLM54227371,https://articulo.mercadolibre.com.mx/p/MLM54227371,MLM1339783471,https://articulo.mercadolibre.com.mx/MLM-1339783471,null,SALE_FORMAT: Pack/ UNITS_PER_PACK: 1000/ UNIT_WEIGHT: 10 g,null,OPTIN_SAME_PDP,"ATT_UPDATE_CHILD,IMG_UPDATE",ext_joatenci,OK,OK,,,
29 dic 2025,12730411,Netkel,ext_namangas,null,FLAVORED_WATERS,MLB28896391,https://produto.mercadolivre.com.br/p/MLB28896391,MLB3964588397,https://produto.mercadolivre.com.br/MLB-3964588397,null,FLAVOR: Coco/ PACKAGING_TYPE: Tetra Pak/ SALE_FORMAT: Kit/ UNITS_PER_PACK: 12/ UNIT_VOLUME: 330 mL,null,OPTIN_SAME_PDP,ATT_ADD_FAMILY,ext_lopmatia,OK,OK,,,
29 dic 2025,11430172,Netkel,ext_igjerez,null,MOTORCYCLE_HELMETS,MLB23790263,https://produto.mercadolivre.com.br/p/MLB23790263,MLB5671185308,https://produto.mercadolivre.com.br/MLB-5671185308,190438093973,COLOR: Preto/ DESIGN: Monocolor/ HELMET_SIZE: 58,MLB18432490,OPTIN_OTHER_PDP,IMG_UPDATE_ADD,ext_lopmatia,OK,OK,,,
29 dic 2025,12730382,Netkel,ext_toarruss,FAMILIA_YA_CREADA,COMPUTER_MONITORS,MLM62550261,https://articulo.mercadolibre.com.mx/p/MLM62550261,MLM2531223133,https://articulo.mercadolibre.com.mx/MLM-2531223133,null,COLOR: Negro/ VOLTAGE: 110-240V,MLM62550262,OPTIN_OTHER_PDP,Se agregaron todos los datos faltantes,ext_lopmatia,OK,OK,,,
29 dic 2025,12731274,Netkel,ext_tibareir,null,ELECTRICAL_CABLES,MLB43187294,https://produto.mercadolivre.com.br/p/MLB43187294,MLB3918253353,https://produto.mercadolivre.com.br/MLB-3918253353,null,CABLE_JACKET_COLOR: Amarelo/ CABLE_LENGTH: 100 m/ CONDUCTORS_NUMBER: 1/ PACKAGING_TYPE: Rolo/ SECTION_SIZE: 25 cm²,null,ITEM_INDEFINIDED,25cm2 en atts y 25mm en imagenes,ext_lopmatia,OK,OK,,,
29 dic 2025,12730883,Netkel,ext_jocambar,null,SMARTWATCHES,MLM54097715,https://articulo.mercadolibre.com.mx/p/MLM54097715,MLM3908909602,https://articulo.mercadolibre.com.mx/MLM-3908909602,null,CASE_COLOR: Negro/ SMARTWATCH_CASE_MATERIAL: Titanio/ SMARTWATCH_VERSION: Versión global/ WRISTBAND_MATERIAL: Silicona,MLM54097715,OPTIN_SAME_PDP,title_update//descrip_update,ext_lopmatia,OK,OK,,,
29 dic 2025,12729862,Netkel,ext_flagusti,FAMILIA_YA_CREADA,VEHICLE_TIRE_INNER_TUBES,MLB28219778,https://produto.mercadolivre.com.br/p/MLB28219778,MLB2968805534,https://produto.mercadolivre.com.br/MLB-2968805534,null,TUBE_VALVE_TYPE: Presta,MLB27399697,OPTIN_OTHER_PDP,IMG_UPDATE,ext_lopmatia,OK,OK,,,
29 dic 2025,12731574,Netkel,ext_agfasson,null,INFLATABLE_POOLS,MLB21268294,https://produto.mercadolivre.com.br/p/MLB21268294,MLB4018605471,https://produto.mercadolivre.com.br/MLB-4018605471,null,COLOR: Verde/ PACKAGING_TYPE: Caixa/ WATER_CAPACITY: 1143 L,null,OPTIN_SAME_PDP,IMG_UPDATE/ATT_UPDATE_FAMILY,ext_lopmatia,OK,OK,,,
29 dic 2025,12730476,Netkel,ext_aiolmedo,null,NAILS,MLB47139605,https://produto.mercadolivre.com.br/p/MLB47139605,MLB3955277773,https://produto.mercadolivre.com.br/MLB-3955277773,null,LENGTH: 2.7 cm/ NOMINAL_DIAMETER: 1.6 cm/ SALE_FORMAT: Unidade/ UNITS_PER_PACK: 1/ UNITS_PER_PACKAGE: 100,null,OPTIN_SAME_PDP,IMG_UPDATE,ext_lopmatia,OK,OK,,,
29 dic 2025,12732071,Netkel,ext_tibareir,null,KITCHEN_CABINETS,MLB27982850,https://produto.mercadolivre.com.br/p/MLB27982850,MLB3355568042,https://produto.mercadolivre.com.br/MLB-3355568042,null,COLOR: Branco,null,ITEM_INDEFINIDED,Modelo no definido. La familia con mismos PKS es mutante,ext_lopmatia,OK,OK,,,
29 dic 2025,12728833,Netkel,ext_agfasson,null,FLOOR_CEILING_AND_WALL_LIGHTS,MLB21782266,https://produto.mercadolivre.com.br/p/MLB21782266,MLB1828148432,https://produto.mercadolivre.com.br/MLB-1828148432,null,COLOR: Preto/ COLOR_TEMPERATURE: 4000 K/ LIGHT_COLOR: Branco/Neutro/ UNITS_PER_PACK: 6/ VOLTAGE: 110V/220V (Bivolt),null,DESESTIMAR,Valores descriptivos,ext_lopmatia,NOT OK,NOT OK,47597124,Motivo vs PDP,El producto del item se encuentra creado dentro de la famila que trajo la tarjeta
29 dic 2025,12729824,Netkel,ext_flagusti,null,SMARTWATCHES,MLM27594643,https://articulo.mercadolibre.com.mx/p/MLM27594643,MLM3879129476,https://articulo.mercadolibre.com.mx/MLM-3879129476,null,BEZEL_COLOR: Titanio/ BEZEL_MATERIAL: Titanio/ CASE_COLOR: Gris oscuro/ SMARTWATCH_CASE_MATERIAL: Titanio/ SMARTWATCH_VERSION: Unitalla/ WRISTBAND_COLOR: Azul oscuro/ WRISTBAND_DESIGN: Ocean Band/ WRISTBAND_MATERIAL: Titanio/Fluoroelastómero,null,DESESTIMAR,Caja genérica,ext_lopmatia,OK,OK,,,
29 dic 2025,12731563,Netkel,ext_fltangor,null,FACIAL_SKIN_CARE_PRODUCTS,MLC47226454,https://articulo.mercadolibre.cl/p/MLC47226454,MLC3318396700,https://articulo.mercadolibre.cl/MLC-3318396700,null,APPLICATION_MOMENT: Día/Noche/ SALE_FORMAT: Unidad/ SKIN_TYPE: Todo tipo de piel/ UNITS_PER_PACK: 1/ UNIT_VOLUME: 30 mL,MLC47226454,OPTIN_SAME_PDP,IMG_UPDATE_ADD TITLE_UPDATE DESCRIP_UPDATE MF_UPDATE,ext_maminczu,OK,OK,,,
29 dic 2025,12729811,Netkel,ext_elgramug,null,CHARMS,MLB50521600,https://produto.mercadolivre.com.br/p/MLB50521600,MLB2004682025,https://produto.mercadolivre.com.br/MLB-2004682025,null,COLOR: Dourado/ DIAMETER: 5 mm/ FINISH: Banhado a ouro/ LENGTH: 70 cm/ MATERIAL: Aço/ SALE_FORMAT: Unidade/ UNITS_PER_PACK: 1,null,OPTIN_SAME_PDP,IMG_ADD,ext_maminczu,OK,OK,,,
29 dic 2025,12731917,Netkel,ext_agnovare,FAMILIA_YA_CREADA,SHOWER_PANELS,MCO2044195170,https://articulo.mercadolibre.com.co/p/MCO2044195170,MCO3033286792,https://articulo.mercadolibre.com.co/MCO-3033286792,null,COLOR: Plateado/ FINISH: Cepillado,MCO24459690,OPTIN_OTHER_PDP,ATT_ADD_FAMILY,ext_maminczu,OK,OK,,,
29 dic 2025,12730301,Netkel,ext_flagusti,null,MATTRESSES,MLB50474872,https://produto.mercadolivre.com.br/p/MLB50474872,MLB5487173784,https://produto.mercadolivre.com.br/MLB-5487173784,null,COLOR: Branco/ HEIGHT: 10 cm/ LENGTH: 130 cm/ MATTRESS_SIZE: Berço/ WIDTH: 70 cm,MLB50474872,OPTIN_SAME_PDP,descrip_update/title_uodate,ext_maminczu,OK,OK,,,
29 dic 2025,12731292,Netkel,ext_agfasson,FAMILIA_YA_CREADA,PERFUMES,MLA22293237,https://articulo.mercadolibre.com.ar/p/MLA22293237,MLA1123602226,https://articulo.mercadolibre.com.ar/MLA-1123602226,null,UNIT_VOLUME: 100 mL,MLA22293245,OPTIN_OTHER_PDP,IMG_UPDATE,ext_maminczu,OK,OK,,,
29 dic 2025,12731565,Netkel,ext_fltangor,null,LASER_LEVELS,MLM58032003,https://articulo.mercadolibre.com.mx/p/MLM58032003,MLM2478355191,https://articulo.mercadolibre.com.mx/MLM-2478355191,null,LIGHT_BEAM_COLOR: Verde,MLM58032003,OPTIN_SAME_PDP,IMG_UPDATE_ADD TITLE_ DESCRIP_UPDATEU PDATE MF_UPDATE,ext_maminczu,OK,OK,,,
29 dic 2025,12729856,Netkel,ext_igjerez,null,AIR_FRYERS,MLA61958775,https://articulo.mercadolibre.com.ar/p/MLA61958775,MLA1571352395,https://articulo.mercadolibre.com.ar/MLA-1571352395,null,COLOR: Plateado/ VOLTAGE: 220V,null,OPTIN_SAME_PDP,ATT_UPDATE_FAMILY,ext_maminczu,OK,OK,,,
29 dic 2025,12731289,Netkel,ext_agnovare,FAMILIA_YA_CREADA,ELECTRIC_PRESSURE_WASHERS,MLB18553538,https://produto.mercadolivre.com.br/p/MLB18553538,MLB4043584308,https://produto.mercadolivre.com.br/MLB-4043584308,null,COLOR: Preto/ FREQUENCY: 60 Hz/ VOLTAGE: 127/220V,MLB18553539,OPTIN_OTHER_PDP,ATT_FAMILY_ADD,ext_maminczu,OK,OK,,,
29 dic 2025,12731952,Netkel,ext_agnovare,null,POOL_CHLORINE,MLB2051801547,https://produto.mercadolivre.com.br/p/MLB2051801547,MLB3538126915,https://produto.mercadolivre.com.br/MLB-3538126915,null,SALE_FORMAT: Unidade/ UNITS_PER_PACK: 1/ UNIT_WEIGHT: 10 kg,null,ITEM_INDEFINIDED,2 marcas,ext_maminczu,OK,OK,,,
29 dic 2025,12730281,Netkel,ext_matiam,FAMILIA_YA_CREADA,BABY_CAR_SEATS,MLB24223405,https://produto.mercadolivre.com.br/p/MLB24223405,MLB4195200234,https://produto.mercadolivre.com.br/MLB-4195200234,null,COLOR: Preto/ PATTERN_NAME: Cadeirinha,MLB24223408,OPTIN_OTHER_PDP,IMG_UPDATE/ATT_UPDATE,ext_maminczu,OK,OK,,,
29 dic 2025,12728833,Netkel,ext_agnovare,null,FLOOR_CEILING_AND_WALL_LIGHTS,MLB21782266,https://produto.mercadolivre.com.br/p/MLB21782266,MLB1904610174,https://produto.mercadolivre.com.br/MLB-1904610174,null,COLOR: Preto/ COLOR_TEMPERATURE: 3000 K/ LIGHT_COLOR: Branco quente/ UNITS_PER_PACK: 6/ VOLTAGE: 127/220V,null,DESESTIMAR,Valores descriptivos,ext_maminczu,OK,OK,,,
29 dic 2025,12730013,Netkel,ext_fltangor,FAMILIA_YA_CREADA,TABLETS,MLA48044049,https://articulo.mercadolibre.com.ar/p/MLA48044049,MLA2410310950,https://articulo.mercadolibre.com.ar/MLA-2410310950,null,"CAPACITY: 0 MB/ COLOR: Negro/ DISPLAY_SIZE: 0 ""/ RAM_MEMORY_MODULE_TOTAL_CAPACITY: 0 MB",MLA48044061,OPTIN_OTHER_PDP,TITLE_UPDATE/IMG_UPDATE/ATT_FAMILY_UPDATE,ext_vitofalo,OK,OK,,,
29 dic 2025,12728290,Netkel,ext_elgramug,FAMILIA_YA_CREADA,MULTIPURPOSE_TARPS,MLM46692392,https://articulo.mercadolibre.com.mx/p/MLM46692392,MLM2077708712,https://articulo.mercadolibre.com.mx/MLM-2077708712,null,COLOR: Blanco/ LENGTH: 15 m/ WIDTH: 10 m,MLM63555578,OPTIN_OTHER_PDP,ATT_ADD_FAMILY/DESCRIP_UPDATE,ext_vitofalo,OK,OK,,,
29 dic 2025,12732189,Netkel,ext_aiolmedo,null,SALT_AND_PEPPER_SHAKERS,MLB59145838,https://produto.mercadolivre.com.br/p/MLB59145838,MLB4732243774,https://produto.mercadolivre.com.br/MLB-4732243774,null,UNITS_PER_PACK: 2,null,OPTIN_SAME_PDP,IMG_UPDATE,ext_vitofalo,OK,OK,,,
29 dic 2025,12730796,Netkel,ext_jotrimar,null,SUPPLEMENTS,MLB45025218,https://produto.mercadolivre.com.br/p/MLB45025218,MLB5363629720,https://produto.mercadolivre.com.br/MLB-5363629720,null,FLAVOR: Frutas vermelhas/ PACKAGING_TYPE: Caixa/ SALE_FORMAT: Kit/ UNITS_PER_PACK: 2/ UNITS_PER_PACKAGE: 1,null,FAMILY_NO_CREATED,En el item se ven dos productos diferentes,ext_vitofalo,OK,OK,,,
29 dic 2025,12730039,Netkel,ext_elgramug,null,HEADPHONES,MLM61427047,https://articulo.mercadolibre.com.mx/p/MLM61427047,MLM2366201573,https://articulo.mercadolibre.com.mx/MLM-2366201573,null,COLOR: Negro/ LIGHT_COLOR: Azul/ PAIRS_NUMBER: 1,null,OPTIN_SAME_PDP,ATT_ADD_FAMILY,ext_vitofalo,OK,OK,,,
29 dic 2025,12732106,Netkel,ext_agfasson,null,WARDROBES_AND_UPPER_STORAGES,MLB44298363,https://produto.mercadolivre.com.br/p/MLB44298363,MLB4598822150,https://produto.mercadolivre.com.br/MLB-4598822150,null,COLOR: Naturale,null,OPTIN_SAME_PDP,IMG_UPDATE,ext_vitofalo,OK,OK,,,
29 dic 2025,12730968,Netkel,ext_elgramug,null,POOL_PUMPS,MLA19784507,https://articulo.mercadolibre.com.ar/p/MLA19784507,MLA1458498803,https://articulo.mercadolibre.com.ar/MLA-1458498803,null,POWER: 28 W/ VOLTAGE: 220V,null,OPTIN_SAME_PDP,IMG_ADD/ATT_ADD_FAMILY,ext_vitofalo,OK,OK,,,
30 dic 2025,12733149,Netkel,ext_hernflor,null,TOOTHBRUSHES,MLB21956751,https://produto.mercadolivre.com.br/p/MLB21956751,MLB5003276304,https://produto.mercadolivre.com.br/MLB-5003276304,null,SALE_FORMAT: Unidade/ UNITS_PER_PACK: 1,null,ITEM_INDEFINIDED,No se puede determinar el color,ext_joatenci,OK,OK,,,
30 dic 2025,12732980,Netkel,ext_joavgust,null,MOTORCYCLE_TIRES,MLB20981191,https://produto.mercadolivre.com.br/p/MLB20981191,MLB5316757220,https://produto.mercadolivre.com.br/MLB-5316757220,null,LOAD_INDEX: 33M e 49M/ MOUNTING_TYPE: Com câmara/ POSITION: Dianteira/Traseira/ SPEED_INDEX: 33M e 49M/ TIRES_NUMBER: 2,null,DESESTIMAR,No es un kit oficial,ext_joatenci,OK,OK,,,
30 dic 2025,12734586,Netkel,ext_joavgust,null,ELECTRIC_BICYCLES,MLM46221874,https://articulo.mercadolibre.com.mx/p/MLM46221874,MLM4325712092,https://articulo.mercadolibre.com.mx/MLM-4325712092,192626999283,COLOR: Rojo,null,DESESTIMAR,No es un kit oficial,ext_joatenci,OK,NOT OK,Pain APD,,"No se ve que sea un kit de distintos productos, solo que el seller ofrece mas accesorios en el item que no trae el de la PDP"
30 dic 2025,12733191,Netkel,ext_aiolmedo,null,SURVEILLANCE_VIDEO_RECORDERS,MLM20800414,https://articulo.mercadolibre.com.mx/p/MLM20800414,MLM2646111400,https://articulo.mercadolibre.com.mx/MLM-2646111400,null,VOLTAGE: 127V,null,DESESTIMAR,no es un kit oficial,ext_joatenci,OK,OK,,,
30 dic 2025,12732973,Netkel,ext_aiolmedo,null,INDUSTRIAL_ICE_CREAM_MACHINES,MLB61395540,https://produto.mercadolivre.com.br/p/MLB61395540,MLB5686453188,https://produto.mercadolivre.com.br/MLB-5686453188,null,VOLTAGE: 220V,null,OPTIN_SAME_PDP,TITTLE_UPDATE,ext_lopmatia,OK,OK,,,
30 dic 2025,12734687,Netkel,ext_matiam,null,VEHICLE_WIRELESS_FM_TRANSMITTERS,MLB58970856,https://produto.mercadolivre.com.br/p/MLB58970856,MLB4298829399,https://produto.mercadolivre.com.br/MLB-4298829399,null,COLOR: Preto,null,OPTIN_SAME_PDP,IMG_UPDATE/ATT_UPDATE/DESCRIP_UPDATE,ext_lopmatia,OK,NOT OK,Hacer calidad,PDP sin calidad,Si bien se indica que se agregaron img y descripción las mismas no se observan en la PDP
30 dic 2025,12735033,Netkel,ext_agnovare,null,WRISTWATCHES,MLB27011377,https://produto.mercadolivre.com.br/p/MLB27011377,MLB5852081514,https://produto.mercadolivre.com.br/MLB-5852081514,null,BACKGROUND_COLOR: Branco/ BEZEL_COLOR: Azul/ CASE_COLOR: Prateado/ CLASP_TYPE: Dobrável/ STRAP_COLOR: Prateado/ STRAP_MATERIAL: Aço inoxidável,null,DESESTIMAR,Kit,ext_lopmatia,OK,OK,,,
30 dic 2025,12731914,Netkel,ext_joastori,FAMILIA_YA_CREADA,HAIR_STRAIGHTENERS,MLA6360706,https://articulo.mercadolibre.com.ar/p/MLA6360706,MLA1294391882,https://articulo.mercadolibre.com.ar/MLA-1294391882,null,COLOR: Plateado/ VOLTAGE: 110/220V,MLA27575600,OPTIN_OTHER_PDP,IMG_UPDATE,ext_lopmatia,OK,NOT OK,6363984,PDP incorrecta,El item es bivolt en un site que no lo admite (MLA) como ese site solo admite 220V se debia asociar a esa variante
30 dic 2025,12733628,Netkel,ext_mibrizue,FAMILIA_YA_CREADA,POWER_GRINDERS,MLA19870233,https://articulo.mercadolibre.com.ar/p/MLA19870233,MLA727855157,https://articulo.mercadolibre.com.ar/MLA-727855157,null,COLOR: Verde/ FREQUENCY: 50 Hz/ VOLTAGE: 220V,MLA19870236,OPTIN_OTHER_PDP,DESCRIP_UPDATE,ext_lopmatia,OK,OK,,,
30 dic 2025,12732344,Netkel,ext_matiam,null,DRINKING_GLASSES,MLB42503577,https://produto.mercadolivre.com.br/p/MLB42503577,MLB3994200967,https://produto.mercadolivre.com.br/MLB-3994200967,null,COLOR: Vermelho/ PATTERN_NAME: Diamante/ SALE_FORMAT: Kit/ UNITS_PER_PACK: 6/ VOLUME_CAPACITY: 340 mL,null,OPTIN_SAME_PDP,IMG_UPDATE,ext_lopmatia,OK,OK,,,
30 dic 2025,12734592,Netkel,ext_agfasson,FAMILIA_YA_CREADA,SPEAKERS,MLB40503251,https://produto.mercadolivre.com.br/p/MLB40503251,MLB3945321229,https://produto.mercadolivre.com.br/MLB-3945321229,null,COLOR: Preto,MLB40503254,OPTIN_OTHER_PDP,IMG_UPDATE/ATT_ADD_PARENT/ATT_ADD_FAMILY,ext_lopmatia,OK,OK,,,
30 dic 2025,12732791,Netkel,ext_elgramug,null,SMARTWATCHES,MLM51695879,https://articulo.mercadolibre.com.mx/p/MLM51695879,MLM3775322330,https://articulo.mercadolibre.com.mx/MLM-3775322330,null,BEZEL_COLOR: Negro/ BEZEL_MATERIAL: Aleación de aluminio/ CASE_COLOR: Negro/ SMARTWATCH_CASE_MATERIAL: Aleación de aluminio/ SMARTWATCH_VERSION: Sport/ WRISTBAND_COLOR: Negro/ WRISTBAND_DESIGN: Milanese/ WRISTBAND_MATERIAL: Silicona,null,OPTIN_SAME_PDP,ATT_ADD_FAMILY/TITTLE_UPDATE,ext_lopmatia,OK,OK,,,
30 dic 2025,12733192,Netkel,ext_elgramug,null,DIGITAL_TEMPERATURE_CONTROLLERS,MLB45132926,https://produto.mercadolivre.com.br/p/MLB45132926,MLB3976780593,https://produto.mercadolivre.com.br/MLB-3976780593,null,VOLTAGE: 90 - 240 vca,MLB45132930,OPTIN_OTHER_PDP,ATT_ADD_FAMILY/TITTLE_UPDATE/DESCRIP_UPDATE,ext_lopmatia,OK,OK,,,
30 dic 2025,12732658,Netkel,ext_agfasson,FAMILIA_YA_CREADA,SUPPLEMENTS,MLM19605135,https://articulo.mercadolibre.com.mx/p/MLM19605135,MLM3546859842,https://articulo.mercadolibre.com.mx/MLM-3546859842,null,FLAVOR: Capuchino/ PACKAGING_TYPE: Botella/ SALE_FORMAT: Pack/ UNITS_PER_PACK: 24/ UNIT_VOLUME: 200 mL,MLM63673256,OPTIN_OTHER_PDP,Creación y calidad integral,ext_lopmatia,OK,OK,,,
30 dic 2025,12731827,Netkel,ext_aiolmedo,null,STUFFED_TOYS,MLA47337883,https://articulo.mercadolibre.com.ar/p/MLA47337883,MLA2417891128,https://articulo.mercadolibre.com.ar/MLA-2417891128,null,CHARACTER: Stitch/ COLOR: Sorpresa/ STUFFED_TOYS_SHAPE: Animal/ STUFFED_TOY_SIZE: Grande,null,ITEM_INDEFINIDED,Contradicción en marca y tamaño,ext_lopmatia,OK,OK,,,
30 dic 2025,12732406,Netkel,ext_juawagne,FAMILIA_YA_CREADA,SUPPLEMENTS,MLB50678022,https://produto.mercadolivre.com.br/p/MLB50678022,MLB5424306260,https://produto.mercadolivre.com.br/MLB-5424306260,null,FLAVOR: Sem sabor/ NET_VOLUME: 30 L/ NET_WEIGHT: 30 g/ PACKAGING_TYPE: Pote/ SALE_FORMAT: Unidade/ UNITS_PER_PACK: 1/ UNITS_PER_PACKAGE: 60/ UNIT_VOLUME: 1 mL/ UNIT_WEIGHT: 120 g,MLB50678026,OPTIN_OTHER_PDP,IMG_UPDATE_ADD,ext_maminczu,OK,OK,,,
30 dic 2025,12732376,Netkel,ext_matvalle,FAMILIA_YA_CREADA,WATER_PURIFIER_FILTERS_REPLACEMENTS,MLB28365636,https://produto.mercadolivre.com.br/p/MLB28365636,MLB2867802609,https://produto.mercadolivre.com.br/MLB-2867802609,null,COLOR: Branco/ SALE_FORMAT: Unidade/ UNITS_PER_PACK: 1,MLB60722922,OPTIN_OTHER_PDP,MIX:DESCRIP_UPDATE/IMG_UPDATE_ADD,ext_maminczu,OK,NOT OK,Hacer calidad,PDP sin calidad,No se ven los cambios en la pdp
30 dic 2025,12731349,Netkel,ext_flagusti,null,KITCHEN_CABINETS,MLB51173797,https://produto.mercadolivre.com.br/p/MLB51173797,MLB3498895899,https://produto.mercadolivre.com.br/MLB-3498895899,null,COLOR: Nogal/Salinas,null,DESESTIMAR,Pain APD,ext_maminczu,OK,OK,,,
30 dic 2025,12732572,Netkel,ext_siosanch,null,AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,MLM44182149,https://articulo.mercadolibre.com.mx/p/MLM44182149,MLM3311905872,https://articulo.mercadolibre.com.mx/MLM-3311905872,null,CABLE_LENGTH: 5 m/ COLOR: Red/ SALE_FORMAT: Unidad/ UNITS_PER_PACK: 1,null,ITEM_INDEFINIDED,"Matriz: Producto Indefinido. Att marca refiere a  Kuerl, en imagenes se visualiza en el packaging la marca MDK.",ext_maminczu,OK,OK,,,
